Bioinformatics_ID	site_name	state
V2697_Rfor_PAC	PuenteMadreVieja	Chiapas
V2701_Rfor_PAC	PuenteMadreVieja	Chiapas
V2702_Rfor_PAC	PuenteMadreVieja	Chiapas
V2706_Rfor_PAC	PuenteMadreVieja	Chiapas
V2707_Rfor_PAC	PuenteMadreVieja	Chiapas
V2708_Rfor_PAC	PuenteMadreVieja	Chiapas
V2709_Rfor_PAC	PuenteMadreVieja	Chiapas
V2695_Rfor_PAC	PuenteZanatepec	Oaxaca
V2699_Rfor_PAC	PuentelosAmates	Oaxaca
V2700_Rfor_PAC	PuentelosAmates	Oaxaca
T3611_PAC	ElCogul	Oaxaca
T3616_PAC	ElCogul	Oaxaca
T3778_PAC	ElCogul	Oaxaca
T3782_PAC	ElCogul	Oaxaca
T3624_PAC	ElCogul	Oaxaca
V2692_Rfor_PAC	PuenteQuetzalapa	Chiapas
V2693_Rfor_PAC	PuenteQuetzalapa	Chiapas
V2696_Rfor_PAC	PuenteQuetzalapa	Chiapas
T3676_PAC	ChiapadeCorzo	Chiapas
T14204_PAC	Comitan	Chiapas
T3663_PAC	Comitan	Chiapas
T3786_PAC	Comitan	Chiapas
T3809_PAC	Comitan	Chiapas
TF8637_Rspe_CMX	RiolasTejas	Oaxaca
TF8644_Rspe_CMX	RiolasTejas	Oaxaca
TF8635_Rspe_CMX	RiolasTejas	Oaxaca
TF8636_Rspe_CMX	RiolasTejas	Oaxaca
TF8638_Rspe_CMX	RiolasTejas	Oaxaca
TF8639_Rspe_CMX	RiolasTejas	Oaxaca
TF8640_Rspe_CMX	RiolasTejas	Oaxaca
TF8641_Rspe_CMX	RiolasTejas	Oaxaca
TF8642_Rspe_CMX	RiolasTejas	Oaxaca
TF8643_Rspe_CMX	RiolasTejas	Oaxaca
TF8645_Rspe_CMX	RiolasTejas	Oaxaca
TF8647_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8648_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8649_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8650_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8651_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8652_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8653_Rspe_CMX	PuenteTehuantepec	Oaxaca
TF8646_Rspe_CMX	PuenteTehuantepec	Oaxaca
