Bioinformatics_ID	site_name	state
T3043_LCA	21_151	Guanacaste
T3042_LCA	21_22	Guanacaste
T1963_arcelia_PAC	Arcelia	Guerrero
T1964_arcelia_PAC	Arcelia	Guerrero
V1_PAC	ArroyoBejucos	Nayarit
V2_PAC	ArroyoBejucos	Nayarit
V3_PAC	ArroyoBejucos	Nayarit
V4_PAC	ArroyoBejucos	Nayarit
V5_PAC	ArroyoBejucos	Nayarit
V6_PAC	ArroyoBejucos	Nayarit
T3437_PAC	Atenquique	Jalisco
V7_PAC	Atotonilco	Nayarit
V8_PAC	Atotonilco	Nayarit
T3715_LCA	BocaBarranca	Puntarenas
T3762_LCA	BocaBarranca	Puntarenas
T3703_LCA	BocaBarranca	Puntarenas
T3588_LCA	BocaBarranca	Puntarenas
T3743_LCA	BocaBarranca	Puntarenas
T3545_LCA	BocaBarranca	Puntarenas
T3577_LCA	BocaBarranca	Puntarenas
T3544_LCA	BocaBarranca	Puntarenas
T3576_LCA	BocaBarranca	Puntarenas
T3557_LCA	BocaBarranca	Puntarenas
V2833_PAC	Cajon-ElTule	Jalisco
N918_LCA	CerroKilambe	Jinotega
T3430_PAC	Colima	Colima
T4029_bals_PAC	Colima	Colima
V2906_PAC	CruzdeLoreto	Jalisco
T2059_Rfor_PAC	Escuinapa	Sinaloa
MVZ175967_LCA	Estacion	Guanacaste
MVZ149013_LCA	Estacion	Guanacaste
MVZ207327_LCA	Finca	Guanacaste
V2602_pap_PAC	FrenteOmitlan	Guerrero
V2832_PAC	LaLaguna	Jalisco
V11_PAC	LaPapalota	Nayarit
V12_PAC	LaPapalota	Nayarit
V13_PAC	LaPapalota	Nayarit
V14_PAC	LaPapalota	Nayarit
V15_PAC	LaPapalota	Nayarit
V16_PAC	LaPapalota	Nayarit
MVZ269989_LCA	LaPiedrona	Jutiapa
MVZ269990_LCA	LaPiedrona	Jutiapa
MVZ269991_LCA	LaPiedrona	Jutiapa
JA24801_PAC	LaSalada	Guerrero
V2831_PAC	LasPalmas	Jalisco
KEN590_LCA	LCI	Nicaragua
KEN591_LCA	LCI	Nicaragua
KEN592_LCA	LCI	Nicaragua
UTA60803_Rfor_PAC	Marquelia	Guerrero
V2797_PAC	NA	N/A
V2794_PAC	PedroLagunillas_2	Nayarit
V2798_PAC	PedroLagunillas_2	Nayarit
V2799_PAC	PedroLagunillas_1	Nayarit
V2800_PAC	PedroLagunillas_2	Nayarit
V2699_Rfor_PAC	PtelosAmates	Oaxaca
V2700_Rfor_PAC	PtelosAmates	Oaxaca
V2697_Rfor_PAC	PteMadreVieja	Chiapas
V2701_Rfor_PAC	PteMadreVieja	Chiapas
V2702_Rfor_PAC	PteMadreVieja	Chiapas
V2706_Rfor_PAC	PteMadreVieja	Chiapas
V2707_Rfor_PAC	PteMadreVieja	Chiapas
V2708_Rfor_PAC	PteMadreVieja	Chiapas
V2685_Rfor_PAC	PteNiltepec	Oaxaca
V2686_Rfor_PAC	PteNiltepec	Oaxaca
V2687_Rfor_PAC	PteNiltepec	Oaxaca
V2688_Rfor_PAC	PteNiltepec	Oaxaca
V2689_Rfor_PAC	PteNiltepec	Oaxaca
V2692_Rfor_PAC	PteQuetzalapa	Chiapas
V2693_Rfor_PAC	PteQuetzalapa	Chiapas
V2696_Rfor_PAC	PteQuetzalapa	Chiapas
TF8647_Rspe_CMX	PteTehuantepec	Oaxaca
TF8648_Rspe_CMX	PteTehuantepec	Oaxaca
TF8649_Rspe_CMX	PteTehuantepec	Oaxaca
TF8650_Rspe_CMX	PteTehuantepec	Oaxaca
TF8651_Rspe_CMX	PteTehuantepec	Oaxaca
TF8652_Rspe_CMX	PteTehuantepec	Oaxaca
TF8653_Rspe_CMX	PteTehuantepec	Oaxaca
V2691_Rfor_PAC	PteZanatepec	Oaxaca
V2695_Rfor_PAC	PteZanatepec	Oaxaca
V1311_PAC	RanchoJuliaCarrillo	Colima
V1312_PAC	RanchoJuliaCarrillo	Colima
V2594_Rfor_PAC	RioelAmate_3	Guerrero
V2595_Rfor_PAC	RioelAmate_2	Guerrero
V2598_pap_PAC	RioelAmate_1	Guerrero
V2599_pap_PAC	RioelAmate_1	Guerrero
V2600_pap_PAC	RioelAmate_1	Guerrero
TF8637_Rspe_CMX	RiolasTejas	Oaxaca
TF8644_Rspe_CMX	RiolasTejas	Oaxaca
T14192_papa_PAC	RioPapagayo	Guerrero
T14199_PAC	Tapanatepec	Oaxaca
V2717_PAC	Ticuizitan	Colima
V2718_PAC	Ticuizitan	Colima
V2719_PAC	Ticuizitan	Colima
V2720_PAC	Ticuizitan	Colima
V2721_PAC	Ticuizitan	Colima
V2722_PAC	Ticuizitan	Colima
V2723_PAC	Ticuizitan	Colima
V2724_PAC	Ticuizitan	Colima
V2725_PAC	Ticuizitan	Colima
V2726_PAC	Ticuizitan	Colima
V2727_PAC	Ticuizitan	Colima
V2728_PAC	Ticuizitan	Colima
V2729_PAC	Ticuizitan	Colima
V2730_PAC	Ticuizitan	Colima
